Date,Press,Rank,URL,Title,View,Content,Comment
20210118,MBC,1,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093750&rankingType=RANKING,'국정농단' 이재용 파기환송심서 징역 2년 6개월…법정구속,68021,"




이재용 삼성전자 부회장이 국정농단 사건으로 실형을 선고받고 법정구속됐습니다.서울고법 형사1부는 박근혜 전 대통령과 '비선실세' 최서원씨에게 경영권 승계를 도와 달라는 청탁과 함께 86억원의 뇌물을 건넨 혐의로 기소된 이 부회장의 파기환송심에서 징역 2년 6개월을 선고하고 법정구속했습니다.재판부는 ""이번 사건은 국정농단의 일부이긴 하지만, 한편으로는 정치권력이 바뀔 때마다 반복된 뇌물횡령 범죄의 연장선""이라며 ""이 부회장에 대한 실형선고와 법정구속이 불가피하다""고 밝혔습니다.파기환송심에서 쟁점이 됐던 삼성그룹 준법감시위원회의 운영에 대해선, ""긍정적으로 평가되지만 실효성 기준을 충족하진 못한다""고 설명했습니다.재판부는 대법원의 파기환송 취지대로  정유라 씨의 말 구입비 34억 원과 동계스포츠 영재센터 후원금 16억 원 등 50억 원까지 추가 뇌물로 인정했습니다.횡령과 뇌물 액수가 50억원을 넘겨 법정형량이 징역 5년 이상을 넘겨야 하지만, ""현실적으로 대통령의 요구를 거절하기 매우 어렵다는 점을 참작해야 한다""며 재량으로 형량을 2년 6개월로 깎았습니다.임현주 기자(mosqueen@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,2,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093822&rankingType=RANKING,"'2년 6개월' 법정구속…이재용 ""할 말 없다""",39620,"



동영상 뉴스




	
	[뉴스데스크]◀ 앵커 ▶여러분, 안녕하십니까.2016년에 불거진 박근혜 정부의 국정 농단 사건, 그 법적 심판은 아직 끝난 게 아니었습니다.이재용 삼성 전자 부회장이 국정 농단 사건의 네 번째 재판에서 징역 2년 6개월, 실형을 선고받고 법정에서 곧바로 구속 됐습니다.경영권 승계를 도움 받기 위해 대통령과 그 비선 실세에게 86억 원의 뇌물을 건넨 게 유죄로 인정된 겁니다.이 부회장은 구속을 집행하기 전 ""할 말이 없다""고만 말했습니다.먼저, 김정인 기자입니다.◀ 리포트 ▶재판 20여 분 전 법원에 도착한 이재용 삼성전자 부회장.[이재용/삼성전자 부회장] ""(선고 앞두고 만일의 상황 대비해 그룹에 대응 지시하신 게 있으실까요?)…""법정에 앉아선 줄곧 눈을 감은 채 판사들의 입장을 기다렸습니다.재판부는 먼저, 이 부회장이 박근혜 전 대통령과 '비선 실세' 최서원 씨에게 삼성 자금을 횡령해 86억 8천만 원의 뇌물을 줬다는 앞선 대법원의 판단을 그대로 인정했습니다.경영권 승계를 위해 대통령의 권한을 사용해 달라는 뜻으로 부정한 청탁을 했고, 허위 용역 계약을 체결해 범행을 숨기기까지 했다고 지적했습니다.또 ""국정농단 사태의 일부이긴 하지만, 정치권력이 바뀔 때마다 반복돼 온 삼성 최고 경영진의 뇌물과 횡령죄의 연장""이라면서 ""실형 선고에 법정구속이 불가피하다""고 엄벌 의지를 내비쳤습니다. 하지만, 재판부는 통상의 양형 기준을 따르긴 어렵다며, 법정 최저 형량의 절반에 불과한 징역 2년6개월의 실형을 선고했습니다.""대통령의 뇌물 요구를 거절하긴 매우 어려운 측면이 있다""는 겁니다.[김성훈/변호사] ""일반적으로 이 정도 범죄에 양형기준으로는 이것보다 훨씬 높은 형이 판결이 되지만…정치권력의 요구에 거절하지 못했다는 점 등 고려해서 최대한 이제 선처한…""법정을 나선 뒤 서울구치소에 도착한 이 부회장은 다른 신규 입소자들처럼 코로나19 신속항원검사를 받은 뒤, 일단 4주간 독방에 격리될 예정입니다.수감된 이 부회장 앞에는 삼성물산과 제일모직 합병을 매개로 한 '불법 경영권 승계 의혹' 재판이 기다리고 있습니다.앞서 국정농단 사건을 심리한 대법원도 ""이재용 부회장의 지배권 강화 목적으로 그룹 차원의 조직적 승계 작업이 진행됐다""고 지적한 만큼, 남은 재판에도 영향이 미칠지 주목됩니다. MBC뉴스 김정인입니다.(영상취재 : 방종혁 / 영상편집 : 이정근)MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보[연관기사]1. '2년 6개월' 법정구속…이재용 ""할 말 없다""2. 준법감시위 안 통했다…재판부조차 ""실효성 없어""3. 삼성은 '침묵'…""경제 악영향"" vs ""솜방망이""4. 국정농단 사건 사실상 '마침표'…판결 의미는?김정인 기자(tigerji@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,3,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093723&rankingType=RANKING,갈림길 선 이재용…잠시 뒤 파기환송심 선고,31952,"



동영상 뉴스




	
	[정오뉴스]◀ 앵커 ▶박근혜 전 대통령 측에 뇌물을 건넨 혐의로 기소된 이재용 삼성전자 부회장의 파기환송심 선고 재판이 오늘 열립니다.대법원이 뇌물 액수를 더 엄격히 판단하라고 돌려보낸 사건이라, 어떤 판결이 내려질지 주목됩니다. 서울고법에 나가있는 취재기자 연결합니다 윤수한 기자 전해주시죠!◀ 기자 ▶네, 이재용 삼성전자 부회장의 '국정농단' 사건 선고 재판이 조금 뒤 오후 2시쯤 이곳 서울고등법원에서 열립니다.이 부회장은 지난 2017년 2월, 삼성그룹의 경영권 승계를 도와달라며 박근혜씨와 최서원씨에게 뇌물을 건넨 혐의로 기소됐습니다.4년의 재판 과정에서, 법원의 최종 결론도 거의 윤곽이 드러난 상황입니다.이미 대법원은 이 부회장의 뇌물 혐의를 인정해 유죄 판결은 불가피한 상황인데, 과연 뇌물액수를 얼마나 인정해, 어느 정도 형량이 나올지가 관심사입니다.이 부회장은 1심에서 징역 5년을 선고받아 수감됐다 2심에선 집행유예로 풀려났습니다. 대법원은 2심과 달리,정유라씨에게 말 3필을 지원한 것도 뇌물로 인정해 뇌물액을 86억원으로 봐야 한다며, 사건을 돌려보냈습니다.뇌물 액수가 늘어 형량도 늘어날 경우, 3년 이하의 징역형에만 부과할 수 있는 집행유예가 불가능해질 가능성이 높습니다.반면, 재판부는 재판 과정에서 삼성 준법감시위원회의 활동을 평가해서 양형에 반영하겠다고 밝힌 바 있는데, 이를 근거로 형량을 대폭 깎을 수도 있습니다.결국 준법감시위원회에 대한 판단이 이 부회장 형량의 최대 변수가 될 것으로 보입니다.박영수 특별검사팀은 ""재판부가 이 부회장을 집행유예로 풀어주려 한다""고 반발하면서, 징역 9년을 선고해 달라고 요청했습니다.보통 대법원이 한 차례 돌려보낸 사건은, 파기환송심 선고가 최종 판결로 확정되지만, 이번 사건은 형량에 따라 특검이나 이 부회장 모두 다시 상고해 다시 대법원의 판단을 받을 가능성도 있습니다.MBC뉴스 윤수한입니다.  MBC뉴스는 24시간 여러분의 제보를 기다립니다.▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보윤수한 기자(belifact@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,4,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093841&rankingType=RANKING,'아슬아슬' 얼음 낚시…얼음판 잘라보니,29041,"



동영상 뉴스




	
	[뉴스데스크]◀ 앵커 ▶요즘 강이나 호수로 얼음낚시 하려는 사람들이 몰리면서 주민들의 걱정이 크다는 소식을 전해드린 바 있죠.코로나만큼이나 안전도 걱정입니다.오락가락 한파 때문에 얼었다 녹았다를 반복한 빙판, 위험천만 그 자체라고 하는데요.심지어 빙판에 차를 세웠다가 얼음이 깨져서 낭패를 겪기도 하는데, 낚시객들, 아랑곳 하지 않고 몰려 들고 있습니다.조미애 기자가 현장 취재했습니다.◀ 리포트 ▶지난 12일 낮, 충북 옥천의 대청호수입니다.깨진 얼음판 사이로 SUV 차량 한 대가 물에 잠겼습니다.차를 끌어올리려고 노력하지만 자칫 얼음이 깨질 것 같아 난감해합니다. [옥천군 안터마을 안전요원] ""동네 사람이야. 그래서 안 깨질 줄 알고 갔는데 깨진 거야. 그래도 거기가 얕아서 땅에 닿아서 다행인 거야. 더 가서 그랬으면 푹 들어갔지.""호수가 꽁꽁 얼었다고 생각해 차를 세웠지만, 얼음이 결국 차량 무게를 이기지 못하고 그대로 무너진 겁니다.얼었다 녹았다를 거듭하는 호수 가장자리는 특히 위험합니다.날씨가 풀리면서 꽁꽁 얼었던 얼음이 이렇게 녹고 있습니다. 겉으론 단단해 보이지만 지점에 따라 얼음 두께가 천차만별입니다.얼음을 직접 잘라봤습니다.두께는 16에서 19cm 정도, 코로나19 이전 강원도의 유명 겨울 축제 개장 기준인 25cm는 물론 최소 권고 기준인 20cm에도 못 미칩니다.곳곳에 살얼음이 도사리고 있지만, 낚시객들은 아랑곳하질 않습니다.얼어붙은 호수 여기저기에 구멍을 뚫었습니다.[얼음 낚시객]""애들 방학이어서 누가 여기 엊그저께 왔다 갔다 하더라고요. 괜찮다고 하길래 와봤어요. 별로 위험하지 않다고 그래서…""사고를 우려해 얼음낚시와 썰매는 물론 출입 자체를 금지한다는 현수막이 내걸렸지만, 소용없습니다.[얼음 낚시객]""1월 말 지나서부터가 이제 녹는 시기로 보면 되지. 그땐 조심해야지. 아직은 괜찮아요.""과거에도 인명 피해를 겪었던 주민들이 안전요원으로 나서도 통제엔 역부족입니다.[구현서/마을 안전요원]""주말에는 진짜 여기 차를 못 댈 정도예요. 막으면 싸움이 나고 욕하고 하니깐 막을 수가 없죠. '법적으로 막을 수가 있냐' 이런 얘기 하니깐 우리가 황당하죠.""아무리 영하의 날씨라도 구명조끼와 같은 안전 장비를 착용하고, 무엇보다 출입이 금지된 빙판은 반드시 피해야 한다는 게 전문가들의 조언입니다.MBC뉴스 조미애입니다.(영상취재: 김병수, 허태웅(충북))MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보조미애 기자[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,5,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093642&rankingType=RANKING,코스피 11주 만에 하락…'정유 화학 건설' 업종 주목,29034,"



동영상 뉴스




	
	[뉴스투데이]◀ 앵커 ▶증시 예측을 통해 한 주를 미리 내다보는 이번 주 증시전망입니다.사흘 뒤 미국 대통령 취임식이 예정된 가운데, 코로나로 타격이 컸던 일부 업종이 주목을 받고 있습니다.전문가 연결돼 있습니다, 신한금융투자 강송철 연구원님 안녕하세요.◀ 강송철/신한금융투자 연구원 ▶안녕하십니까.◀ 앵커 ▶지난주 코스피가 오랜만에 하락했는데요, 연초 이후에만 개인 투자자들이 10조 원 넘는 순매수를 기록하면서 증시 과열에 대한 목소리도 있는 것 같습니다. 어떻게 분석하시나요?◀ 강송철/신한금융투자 연구원 ▶지난주 코스피가 60포인트 하락하면서 3100선을 하회했습니다.코스피 지수는 작년 11월부터 10주 동안 한 주도 빠지지 않고 올랐는데요, 지난주 하락하면서 11주 만에 처음으로 하락했습니다.특히 지난주 증시 상황을 보면 다소 과하다 싶을 정도로 변동성이 확대되는 모습을 보이기도 했는데요.코스피 지수가 100p 넘게 상승하다가 불과 30분 만에 50p 하락으로 바뀌거나 시가총액이 500조 원이 넘는 삼성전자 주가가 장중에 7~8%씩 올랐다가 또 상승분을 다 반납하기도 하는 등 이례적인 모습들이 자주 나타났습니다.저희를 포함해 대부분 증권사들이 올해 증시 전망을 긍정적으로 보고 있지만 연초 이후 2주 동안에만 300~400p씩 오르는 시장의 상승 속도는 과하게 빠르다는 지적이 많습니다.이 과정에서 개인 투자자들이 지난주에만 10조 원, 연초 이후로는 12조 원 가까이 코스피 순매수를 기록하고 있는 점도 다소 우려되는 부분입니다.◀ 앵커 ▶조 바이든 미국 대통령 당선자가 이번 주 취임 예정인데요, 취임을 앞두고 지난주 1.9조 달러에 해당하는 경기 부양책을 발표했죠. 국내 증시에 미치는 영향은 어떨까요?◀ 강송철/신한금융투자 연구원 ▶바이든 당선인이 코로나 대응을 위한 첫 번째 부양책을 발표했습니다.1.9조 달러 규모인데요.1인당 1,400달러의 재난 지원금을 추가로 지급하고, 추가 실업급여를 9월 말까지 연장하는 내용 등이 담겨졌습니다.의회 통과는 한두 달 시일이 걸릴 것으로 전망됩니다. 민주당이 상원에서 50석을 차지하긴 했지만, 부양책의 즉각 통과를 위해서는 60표가 필요합니다.민주당과 공화당 간 세부 내용에 대한 논의를 거쳐 3월쯤 통과될 것이라는 전망이 나오고 있습니다.1.9조 달러는 미국 GDP의 1%에 해당하는 금액입니다.주식시장에서 미리 예상한 재료라는 견해도 있지만, 적지 않은 규모이니만큼 경기 회복이나 주식시장에도 일단 긍정적인 재료가 될 것으로 예상됩니다.정유와 화학, 건설, 운송처럼 코로나로 타격이 컸던 경기 관련 업종들이 수혜를 받을 것이라는 분석이 나옵니다.◀ 앵커 ▶미국은 마틴루서킹 데이 휴일로, 월요일에는 증시가 열리지 않는다죠.이번 주 증시 주요 변수와 전망 전해주시죠.◀ 강송철/신한금융투자 연구원 ▶이번 주 가장 중요 이벤트는 20일 예정된 바이든 대통령 취임식입니다.바이든 당선인은 미국 통합에 대한 메시지를 전달하고 14일 발표했던 1.9조 달러 부양책 내용을 포함한 정책 방향을 얘기할 것으로 예상됩니다.바이든 대통령이 1호 행정명령으로 어떤 정책을 서명할지도 관심입니다.공약으로 내세웠던 파리기후협약 복귀 등을 선언할 경우 친환경 관련 업종들이 한 번 더 관심을 받을 수 있습니다. 지난주 KOSPI는 11월부터 이어온 10주 연속 상승세를 끝내며 하락 마감했습니다.한국 증시가 주요국 증시 대비 가파르게 올라온 만큼 지난주 하락은 방향 전환보다는 과열 진정을 위해 필요한 조정으로 해석됩니다.이번 주 코스피는 지난주에 이어 박스권 등락 흐름이 이어질 것으로 예상됩니다. NH투자증권은 KOSPI 3,100~3,250p, 한국투자증권은 3100~3200p를 전망했고, 저희 신한금융투자는 조금 낮은 3천에서 3150p선을 예상합니다.◀ 앵커 ▶증시 과열을 우려하는 목소리가 많습니다.검증된 정보를 기반으로, 신중한 판단이 필요해 보입니다.지금까지 신한금융투자 강송철 연구원이었습니다.[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,6,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093837&rankingType=RANKING,"""아파서 손도 못 올려요""…7달째 끝나지 않는 고통",28983,"



동영상 뉴스




	
	[뉴스데스크]◀ 앵커 ▶이틀 뒤면 우리나라에서 첫 코로나 확진자가 나온 지 1년이 됩니다. 그동안 코로나19에 걸렸다가 회복된 사람들, 6만 명에 가깝습니다.완치 판정을 받긴 했지만 이들 중엔 여전히 심각한 신체적 후유증에 시달리고 있는 사람들이 많고, 심지어 퇴원 이후의 삶이 더 고통스럽다고 말하고 있습니다.박진주 기자가 이들의 이야기를 들어봤습니다.◀ 리포트 ▶광주에 사는 51살 김 모 씨. 건강하고 활달했던 김씨의 삶은 코로나19에 감염되면서 180도 바뀌었습니다. 병원에 입원해 치료를 받다가 갑자기 밥맛을 느낄 수 없었습니다. [김 모 씨/ 코로나19 완치자]""한두 번 간을 느끼다가 세 번째부터는 전혀 맹맛이예요.""후각 미각 상실은 시작에 불과했습니다. 음성 판정을 받고 퇴원한 뒤엔 머리카락이 빠지기 시작했습니다. [김 모 씨/ 코로나19 완치자]""한 번 감을 때마다 그 정도 빠져요. 머리숱이 많았는데 지금 굉장히… 1/3 정도 밖에 지금 안 되고…""그러더니 심한 근육통이 시도때도없이 찾아오고 밤에는 잠을 자기가 함들었습니다.[김 모 씨/ 코로나19 완치자]""머리 묶을 때 손을 올리지도 못하고, (옷 갈아입을 때) 비명을 지르고 겨우겨우 갈아입거든요. 차라리 이렇게 많이 아플 바에 그냥 죽어버리고 싶다…""매일 진통제를 10알 넘게 복용하는 김씨는 보육교사로 일하던 어린이집을 그만뒀고, 가족과도 떨어져 혼자 살고 있습니다. [김 모 씨/ 코로나19 완치자]""다른 사람들을 또 감염시킬 수 있다는 공포도 있어서… 집에 가지를 못하고 여기서 방 한 칸을 얻어 가지고…""코로나에 걸렸던 30대 이 모 씨도 퇴원 후 시작된 후각 이상과 대인 기피증이 석 달 넘게 지속 되고 있습니다.[이 모 씨/코로나19 완치자]""매운 느낌 났었는데… 많이 건조하고 후각 쪽으로 그런 게 있어요. 같이 식사를 했다가 그렇게 (감염)된 것 같아서 사람들하고 최대한 안 만나고…""이 외에도 폐 기능 저하, 우울감 등 크고 작은 다양한 후유증을 겪고 있는 완치자들은 정부차원의 체계적 관리와 지원이 시급하다고 호소합니다.[김 모 씨/ 코로나19 완치자]""저처럼 후유증을 지독하게 겪고 있는 사람들을 따로 조사를 해서… 어떤 치료제가 있다면 저는 실험 대상도 되고 싶어요. 치료만 될 수 있다면…""지난 1년 동안 7만 2천여 명이 감염돼 80%인 58,723명이 완치 판정을 받았습니다. 그러나 후유증에 시달리는 완치자들은 퇴원 이후의 삶이 더 고통스럽다며 코로나19에 완치라는 개념은 없다고 강조했습니다. MBC뉴스 박진주입니다.(영상취재: 남현택 / 영상편집: 오유림)MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보[연관기사]1. 두 달 만에 찾은 일상…""또 반복될까 걱정""2. 노르웨이 잇단 백신 사망…""접종 대상자 검토 필요""3. ""아파서 손도 못 올려요""…7달째 끝나지 않는 고통박진주 기자(jinjoo@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,7,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093571&rankingType=RANKING,[날씨] 폭설 구름 유입 중…수도권 출근길 비상,28673,"



동영상 뉴스




	
	[뉴스데스크]새해 들어서만 벌써 세  번째, 폭설 구름이 유입되고 있습니다.지금 서해 중부 바다부터 제주도까지 눈구름이 들어차 있고 눈구름이 먼저 닿는 충남 보령과 서해 5도에는 이미 대설주의보가 내려졌습니다.우리나라 남쪽으로는 고기압이 또 북쪽으로는 저기압이 자리하면서 우리나라로 눈의 통로가 만들어지는 셈이라 이 통로를 따라서 폭설 구름이 유입되겠습니다.지난번 내린 눈보다 더 많은 양이 쏟아질 가능성에 무게가 실리고 있습니다.예상되는 눈의 양은 강원 영서 중남부 지방에 최고 15cm 이상, 서울 등 내륙 지방으로도 3에서 10cm 안팎의 눈이 내리겠고요.특히 내일 출근길 무렵부터 집중될 것으로 보여서 혼잡이 우려됩니다.서울 등 내륙 지방에는 대설예비특보가 내려졌습니다.눈구름의 통로를 따라서 강풍까지 몰려들 것으로 보여서 해안가와 제주도를 중심으로는 시속 60km 이상의 강풍까지 몰아치겠습니다.눈은 내일 오후에 수도권 지방부터 차츰 그치겠습니다.내일 아침 기온은 오늘보다 높아서 서울이 영하 4도, 춘천은 영하 7도에서 시작하겠고요.한낮 기온은 서울이 3도, 대구는 6도 선까지 오르겠습니다.날씨였습니다.이서경 캐스터[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,8,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093676&rankingType=RANKING,"문 대통령 ""아직 사면 말할 때 아니다…국민상식 용납 안해""",25393,"




문재인 대통령은  이명박, 박근혜 전직 대통령의 사면과 관련해 아직은 사면을 말할 때가 아니라고 밝혔습니다.문 대통령은 오늘 오전 신년기자회견에서 ""선고가 끝나자마자 돌아서서 사면을 말하는 것은, 사면이 대통령의 권한이긴 하지만 대통령을 비롯해 정치인들이 그렇게 말할 수 있는 권리는 없다고 생각한다""고 말했습니다.문 대통령은 이어 ""국정농단 권력형 비리가 사실로 확인됐다""며, ""과거의 잘못을 부정하고 인정하지 않는 상황에 대해선 국민의 상식이 용납하지 않을 것""이라고 설명했습니다.또 ""국민의 아픔까지도 다 아우르는 그런 사면을 통해서 국민통합을 이루자는 의견은 충분히 경청할 가치가 있다""면서도, 국민에게 공감대가 형성되어야 사면 논의가 가능한 만큼 언젠가 적절한 시기가 되면 더 고민해야 될 때가 올 것이라고 덧붙였습니다.김재경 기자(samana80@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,9,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093834&rankingType=RANKING,차량 30여 대 연쇄추돌…전국 눈길서 '쾅쾅쾅',25340,"



동영상 뉴스




	
	[뉴스데스크]◀ 앵커 ▶서울엔 예상보다 적은 눈이 내렸지만 강원 남부, 충청 등 곳곳에 많은 눈이 내리면서 크고 작은 사고가 속출했습니다.서해안 고속도로에선 눈길에 차량들이 미끄러 지면서 서른 대가 넘는 차량들이 연쇄 추돌 했습니다. 김광연 기자가 취재 했습니다.◀ 리포트 ▶서해안고속도로 당진 나들목 인근. 눈길에 미끄러진 차량 수십여 대가 뒤엉켜 도로 전체가 아수라장으로 변했습니다. 간발의 차이로 사고는 면했지만 뒤따르던 차량들도 오도가도 못한 채 멈춰섰고, 그 틈으로 사고 차량들이 끌려 나옵니다. 빙판길로 변해버린 서해안고속도로에선, 곳곳에서 연쇄 추돌이 발생해 차량 35대가 부딪치고, 8명이 다쳤습니다. [강진규/사고 목격자]""눈이 길에 살짝 얼어서 차가 미끄러지면서 추돌한 것 같은데요.""오늘 하루, 밤새 내린 눈이 얼어붙은 전국의 고속도로에서 사고가 잇따랐습니다.  해뜨기 전 새벽 시간, 호남고속도로에선 8.5톤 트럭이 눈 길에 미끄러졌습니다. 중심을 잃고 쓰러지면서 천안 방향 2차선을 가로막았고, 뒤따른던 차량들도 꼼짝없이 눈길에 갇혔습니다. 사고 수습까지 3시간 넘게 걸리면서, 출근 시간대 고속도로가 주차장으로 변했습니다. 완주-순천 고속도로에서도 차량 4대가 추돌해 사고 현장 주변 7킬로미터 도로가 마비됐습니다. [최용모/남원소방서 현장대응단 팀장]""1톤 트럭에 구조 대상자가 있었고, 나머지 2명은 나와서 전화를 하고 있었습니다. 모두 다쳐서 치료가 필요한 상태였습니다.""오늘 오전 11시 반쯤,  중앙고속도로에선 45인승 버스가 앞서가던 SUV를 들이받아, SUV 차량에 타고 있던 국민의힘 엄태영 의원이 경미한 부상을 입기도 했습니다. MBC 뉴스 김광연입니다. (영상취재: 신규호(대전) / 화면제공: 한국도로공사·강진규)MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보김광연 기자(kky27@tjmbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
20210118,MBC,10,/main/ranking/read.nhn?mode=LSD&mid=shm&sid1=001&oid=214&aid=0001093339&rankingType=RANKING,[엠빅뉴스] 불법주차 응징했더니 차주 나타나서 한 행동은?,25205,"



동영상 뉴스




	
	 [엠빅뉴스 엠빅비디오]최근 온라인에서 불법주차된 차에 포스트잇 붙여 응징하는 영상이 화제입니다. 장애인구역에 얌체 주차하고 주차구역 혼자 다~쓰는 불법주차족들! 어떻게 해야 할까요? 제~발 주차매너 좀 지킵시다!! [구성: 이지수, 편집: 최유정, 김주형]▶페이스북 바로가기▶유튜브 바로가기▶1boon 바로가기(디지털뉴스제작팀)[저작권자(c) MBC 무단복제-재배포 금지] ▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [M라운지] 편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
",
